Concept,Question,Option One,Option Two,Option Three,Option Four,Correct Answer,Note
algorithm,What is an algorithm?,A programming language,A set of instructions to solve a problem,A type of data structure,A hardware component,A set of instructions to solve a problem,Defines a process to achieve a specific task.
algorithm,What is a characteristic of a good algorithm?,Infinite steps,Ambiguity,Finiteness,Random output,Finiteness,Ensures the algorithm terminates.
algorithm,What is the purpose of algorithm analysis?,To write code,To measure efficiency,To design hardware,To debug code,To measure efficiency,Focuses on time and space complexity.
algorithm,What is a common algorithm design technique?,Divide and conquer,Random guessing,Infinite looping,Manual coding,Divide and conquer,Breaks problems into smaller subproblems.
algorithm,What does an algorithm's correctness ensure?,Fast execution,Expected output,Minimal code,Low memory use,Expected output,Guarantees the solution matches the problem.
java,What is the access modifier in Java that restricts access to within the same class?,private,public,protected,default,private,Access modifiers control visibility of class members
java,Which of the following is NOT a primitive data type in Java?,String,int,boolean,char,String,Primitive types store simple values while others are reference types
java,What keyword is used to handle exceptions in Java?,try,throw,catch,All of the above,All of the above,Exception handling involves multiple keywords working together
java,Which method is automatically called when an object is created in Java?,finalize(),main(),constructor(),initialize(),constructor(),This method shares its name with the class
java,In Java, which collection type maintains insertion order and allows duplicates?,ArrayList,HashSet,HashMap,TreeSet,ArrayList,Think about which data structure is an ordered list
python,"In Python, what is the correct way to create a function?",def myFunction():,function myFunction():,create myFunction():,void myFunction():,def myFunction():,Python uses a specific keyword to define functions
python,What is the output of `print(type([]))`?,<class 'list'>,<class 'array'>,<class 'dict'>,<class 'tuple'>,<class 'list'>,This checks the type of an empty pair of square brackets
python,Which of the following is used for multiple line comments in Python?,''' Comment ''',// Comment,/* Comment */,# Comment,''' Comment ''',Python has single and multi-line comment options
python,What does the `len()` function return when called on a dictionary?,Number of key-value pairs,Sum of all keys,Sum of all values,Memory size of the dictionary,Number of key-value pairs,Think about what constitutes an "element" in a dictionary
Python,What is the result of the expression 3 * 4 ** 2 in Python?,48,144,24,18,48,Python follows mathematical order of operations
c++,Which operator is used for memory allocation in C++?,new,malloc,allocate,create,new,"Use 'delete' to free memory allocated with 'new'"
c++,What is the correct syntax to include the iostream header in C++?,#include <iostream>,#include "iostream",#include <iostream.h>,import iostream,#include <iostream>,"Angle brackets are used for standard library headers"
c++,Which of these is a C++ standard template library container?,vector,arraylist,tuple,dictionary,vector,"STL containers include vector, list, map, etc."
c++,What does the 'const' keyword at the end of a member function indicate?,The function can modify the object,The function cannot modify the object,The function returns a constant value,The function is constant time,The function cannot modify the object,"const member functions can be called on const objects"
c++,How do you declare a pure virtual function in C++?,virtual void func() = 0;,abstract void func();,pure virtual void func();,void func() abstract;,virtual void func() = 0;,"Pure virtual functions make a class abstract"
c,What is the correct way to declare a pointer in C?,int ptr;,int *ptr;,pointer int ptr;,ptr int;,int *ptr;,"The asterisk declares a pointer, position doesn't matter (int* ptr also valid)"
c,Which function is used for dynamic memory allocation in C?,alloc(),new(),malloc(),create(),malloc(),"Don't forget to free() memory allocated with malloc()"
c,What does the #include directive do in C?,Includes a library,Imports a module,Inserts file contents,Loads a DLL,Inserts file contents,"#include literally copies file contents during preprocessing"
c,How do you terminate a string in C?,With a period,With \0,With \n,With \t,With \0,"All C strings must be null-terminated with \0"
c,Which operator is used to access struct members?,.,->,::,.,"Dot for direct access, arrow (->) for pointers to structs"
scala,What is Scala primarily known for?,Combining functional and object-oriented programming,Being a purely procedural language,Low-level system programming,Static web pages,Combining functional and object-oriented programming,Blends paradigms for flexibility.
scala,What is a key feature of Scala?,Dynamic typing,Static typing,No type inference,Limited collections,Static typing,Enables type safety at compile time.
scala,What is the purpose of the 'val' keyword in Scala?,To declare a mutable variable,To declare an immutable variable,To define a class,To create a loop,To declare an immutable variable,Ensures the variable cannot be reassigned.
