Concept,Question,Option One,Option Two,Option Three,Option Four,Correct Answer,,,,,,
getter methods,What is the purpose of a getter method in OOP?,To modify an object's attribute,To retrieve an object's attribute value,To delete an object's attribute,To create a new object,To retrieve an object's attribute value,,,,,,
setter methods,What does a setter method do in a class?,Returns the class type,Sets or updates an attribute's value,Initializes the class,Declares a static variable,Sets or updates an attribute's value,,,,,,
composition,What is composition in OOP?,A class inheriting from another class,A class containing an instance of another class,A class implementing an interface,A class with static methods,A class containing an instance of another class,,,,,,
aggregation,What distinguishes aggregation from composition?,Weaker relationship with independent lifecycles,Stronger relationship with dependent lifecycles,Involves multiple inheritance,Involves interface implementation,Weaker relationship with independent lifecycles,,,,,,
association,What is association in OOP?,A relationship between two classes,A method overriding another,An inheritance hierarchy,A static method call,A relationship between two classes,,,,,,
single responsibility principle,What does the Single Responsibility Principle state?,A class should have multiple responsibilities,A class should have only one reason to change,A class should inherit from one parent,A class should be immutable,A class should have only one reason to change,,,,,,
open closed principle,What does the Open/Closed Principle mean?,Classes should be open to modification,Classes should be open to extension but closed to modification,Classes should not use interfaces,Classes should be fully immutable,Classes should be open to extension but closed to modification,,,,,,
liskov substitution principle,What does the Liskov Substitution Principle ensure?,Subclasses can replace superclasses without breaking the program,Subclasses must override all parent methods,Subclasses cannot inherit from interfaces,Subclasses must be immutable,Subclasses can replace superclasses without breaking the program,,,,,,
interface segregation principle,What is the Interface Segregation Principle?,Clients should implement all interface methods,Clients should not be forced to depend on methods they don't use,Interfaces should be immutable,Interfaces should only have one method,Clients should not be forced to depend on methods they don't use,,,,,,
dependency inversion principle,What does the Dependency Inversion Principle state?,High-level modules should depend on low-level modules,Modules should depend on abstractions, not concretions,Classes should avoid interfaces,Dependencies should be immutable,Modules should depend on abstractions, not concretions,,,,
design patterns,What are design patterns in programming?,Reusable solutions to common problems,Random code structures,Immutable data structures,Single-use algorithms,Reusable solutions to common problems,,,,,,
factory pattern,What does the Factory Pattern do?,Creates objects without specifying the exact class,Manages database connections,Handles file I/O,Ensures thread safety,Creates objects without specifying the exact class,,,,,,
lists,What is a list in programming?,A fixed-size data structure,An ordered collection of elements,A key-value pair structure,A graph-based structure,An ordered collection of elements,,,,,,
linked lists,What is a linked list?,A collection of nodes where each node points to the next,A fixed-size array,A tree-based structure,A hash table,A collection of nodes where each node points to the next,,,,,,
singly linked list,What characterizes a singly linked list?,Each node points to the next node,Each node points to the previous node,Each node points to both next and previous,Nodes are unordered,Each node points to the next node,,,,,,
doubly linked list,What is a doubly linked list?,A list where nodes have links to both next and previous nodes,A list with only forward links,A list with no links,A circular list,A list where nodes have links to both next and previous nodes,,,,,,
circular linked list,What defines a circular linked list?,The last node points back to the first node,Nodes have no links,Each node points to two others,It is a fixed-size list,The last node points back to the first node,,,,,,
priority queues,What is a priority queue?,A queue where elements are dequeued based on priority,A queue with fixed-size elements,A stack-based structure,A sorted array,A queue where elements are dequeued based on priority,,,,,,
deques,What is a deque?,A double-ended queue allowing insertion/deletion at both ends,A single-ended queue,A fixed-size array,A tree-based structure,A double-ended queue allowing insertion/deletion at both ends,,,,,,
trees,What is a tree in data structures?,A hierarchical structure with nodes connected by edges,A linear array,A key-value pair,A flat list,A hierarchical structure with nodes connected by edges,,,,,,
binary search trees,What is a binary search tree?,A tree where left child < parent < right child,A tree with random node values,A linear list,A graph with cycles,A tree where left child < parent < right child,,,,,,
heaps,What is a heap in data structures?,A tree-based structure satisfying the heap property,A linear list,A sorted array,A graph structure,A tree-based structure satisfying the heap property,,,,,,
min heap,What is a min heap?,A heap where the parent is smaller than its children,A heap where the parent is larger,A sorted list,A random tree,A heap where the parent is smaller than its children,,,,,,
