Concept,Question,Option One,Option Two,Option Three,Option Four,Correct Answer,Note,Explanation
big o notation,What is Big O notation?,A programming language,A mathematical notation,A sorting algorithm,A hardware specification,A mathematical notation,Describes time//space complexity,Big O notation is a mathematical tool used in computer science to describe the efficiency of algorithms in terms of time or space as input size grows. It helps developers understand scalability and performance characteristics.
big o notation,What does Big O notation primarily analyze?,Syntax correctness,Algorithm efficiency,Code readability,Hardware compatibility,Algorithm efficiency,Measures growth rate,Big O notation focuses on how the runtime or memory usage of an algorithm increases with the size of the input. This allows for comparison between different algorithms to determine which scales better.
big o notation,Which of the following represents constant time complexity?,O(n),O(log n),O(1),O(n²),O(1),Constant execution time,An algorithm with O(1) complexity performs the same number of operations regardless of input size. This is ideal for tasks like accessing an element in an array by index.
big o notation,Which of the following represents linear time complexity?,O(n),O(1),O(log n),O(n²),O(n),Time scales linearly with input,"Linear time complexity means the runtime increases proportionally with the size of the input. For example, iterating through all elements in an unsorted list has O(n) complexity."
big o notation,Which of the following represents logarithmic time complexity?,O(n),O(1),O(log n),O(n²),O(log n),Efficient for large datasets,Logarithmic time complexity indicates that the runtime grows slowly as the input size increases. Algorithms like binary search operate in O(log n) time because they reduce the problem size by half at each step.
big o notation,Which of the following represents quadratic time complexity?,O(n),O(1),O(log n),O(n²),O(n²),Poor scalability,"Quadratic time complexity means the runtime increases exponentially relative to the input size. Nested loops are often responsible for O(n²) behavior, making such algorithms inefficient for large datasets."
big o notation,Why is Big O notation important in software development?,It improves code aesthetics,It measures algorithmic efficiency,It reduces debugging time,It simplifies variable naming,It measures algorithmic efficiency,Simplifies comparison,Big O notation allows developers to compare the efficiency of different algorithms and make informed decisions about which one to use based on scalability and performance.
big o notation,What is a real-world application of Big O notation?,Choosing between sorting algorithms,Formatting user interfaces,Validating user input,Storing images efficiently,Choosing between sorting algorithms,Helps pick efficient methods,When deciding which sorting method to use—like quicksort vs bubblesort—Big O notation helps identify which will perform better as data size increases.
big o notation,Which of the following best describes O(n log n) complexity?,Worst-case scenario,Best-case scenario,Common in divide-and-conquer algorithms,Only for small inputs,Common in divide-and-conquer algorithms,Optimal for many algorithms,"Algorithms like merge sort and quicksort have O(n log n) complexity, meaning they're more efficient than O(n²) but less so than O(log n). Common in recursive, divide-and-conquer strategies."
big o notation,What is the time complexity of a single loop over n elements?,O(n),O(1),O(log n),O(n²),O(n),Scales with input size,"If a loop runs once for each element in a dataset of size n, its time complexity is O(n), indicating linear growth in execution time."
