Programming_Language,Concept,Explanation
none,variables,"Variables are named storage locations in memory used to hold data that can be modified during program execution. They have a name, type, and value (e.g., int x = 5)."
none,data types,"Data types define the kind of data a variable can hold, such as integers (int), floating-point numbers (float), characters (char), or strings (string)."
none,constants,"Constants are variables whose values cannot be changed once assigned, often declared with keywords like 'const' or 'final' (e.g., const int MAX = 100)."
none,operators,"Operators are symbols that perform operations on variables and values, such as arithmetic (+, -, *, /), logical (&&, ||), or comparison (==, !=)."
none,arithmetic operations,"Arithmetic operations include addition (+), subtraction (-), multiplication (*), division (/), and modulus (%) to perform calculations on numeric values."
none,logical operators,"Logical operators like AND (&&), OR (||), and NOT (!) evaluate boolean expressions to make decisions in control structures."
none,relational operators,"Relational operators compare values, such as equal to (==), not equal to (!=), greater than (>), and less than (<), returning a boolean result."
none,bitwise operators,"Bitwise operators manipulate individual bits of data, including AND (&), OR (|), XOR (^), NOT (~), left shift (<<), and right shift (>>)."
none,assignment operators,"Assignment operators assign values to variables, such as =, +=, -=, *=, /=, which combine assignment with arithmetic or bitwise operations."
none,type casting,"Type casting converts a value from one data type to another, either implicitly (automatic) or explicitly (e.g., int x = (int) 5.7)."
none,control structures,"Control structures direct the flow of program execution using conditionals (if, switch) and loops (for, while) to make decisions or repeat tasks."
none,conditional statements,"Conditional statements like if, else, and switch execute code blocks based on whether a condition evaluates to true or false."
none,loops,"Loops repeat a block of code until a condition is met, including for (fixed iterations), while (condition-based), and do-while (executes at least once)."
none,break statement,"The break statement terminates the nearest enclosing loop or switch statement, transferring control to the next statement outside."
none,continue statement,"The continue statement skips the current iteration of a loop and proceeds to the next iteration, continuing the loop’s execution."
none,functions,"Functions are reusable blocks of code that perform specific tasks, accepting inputs (parameters) and optionally returning a value."
none,function parameters,"Function parameters are variables defined in a function’s declaration that accept values (arguments) passed when the function is called."
none,return statements,"Return statements end a function’s execution and optionally send a value back to the caller (e.g., return 0)."
none,scope,"Scope defines the visibility and lifetime of variables, such as global (accessible everywhere) or local (limited to a function or block)."
none,global variables,"Global variables are declared outside functions and accessible throughout the program, often used for shared data."
none,local variables,"Local variables are declared within a function or block and are only accessible within that scope, destroyed when the scope ends."
none,recursion,"Recursion is when a function calls itself to solve a problem by breaking it into smaller, similar subproblems (e.g., factorial calculation)."
none,call stack,"The call stack is a memory structure that tracks function calls, storing return addresses and local variables, growing with each call."
none,syntax,"Syntax refers to the rules defining the structure of code in a programming language, ensuring it is correctly written and interpretable."
none,comments,"Comments are non-executable text in code used to explain logic, ignored by the compiler (e.g., // single-line or /* multi-line */)."
none,debugging,"Debugging is the process of identifying and fixing errors (bugs) in code using tools like breakpoints, logs, or debuggers."
none,pseudocode,"Pseudocode is a high-level, informal description of an algorithm, written in plain language to plan code without specific syntax."
none,flowcharts,"Flowcharts are visual diagrams representing program flow, using shapes like ovals (start/end), rectangles (processes), and diamonds (decisions)."
none,algorithms,"Algorithms are step-by-step procedures for solving problems, designed to be efficient and reusable (e.g., sorting or searching)."
none,time complexity,"Time complexity measures an algorithm’s efficiency by describing how its runtime grows with input size, expressed in Big-O notation."
none,classes,"Classes are blueprints for creating objects, defining properties (attributes) and behaviors (methods) in object-oriented programming."
none,objects,"Objects are instances of classes, encapsulating data and behavior defined by the class (e.g., a Car object from a Car class)."
none,encapsulation,"Encapsulation bundles data and methods into a class, restricting access to some components using access modifiers like private."
none,inheritance,"Inheritance allows a class to inherit properties and methods from another class, promoting code reuse (e.g., Dog inherits from Animal)."
none,polymorphism,"Polymorphism enables objects of different classes to be treated as objects of a common superclass, often via method overriding or overloading."
none,abstraction,"Abstraction hides complex implementation details, exposing only essential features through interfaces or abstract classes."
none,interfaces,"Interfaces define a contract of methods that classes must implement, enabling polymorphism without providing implementation."
none,abstract classes,"Abstract classes are partially implemented classes that cannot be instantiated, used as base classes with some abstract methods."
none,constructors,"Constructors are special methods called when an object is created, initializing its properties (e.g., public ClassName())."
none,destructors,"Destructors are methods called when an object is destroyed, used to clean up resources (e.g., ~ClassName() in C++)."
none,method overloading,"Method overloading allows multiple methods with the same name but different parameters (number or type) in a class."
none,method overriding,"Method overriding allows a subclass to provide a specific implementation of a method defined in its superclass."
none,access modifiers,"Access modifiers like public, private, and protected control the visibility of class members, ensuring encapsulation."
none,static methods,"Static methods belong to a class rather than an instance, callable without creating an object (e.g., Math.abs())."
none,static variables,"Static variables are shared across all instances of a class, stored in a single memory location for the class."
none,instance variables,"Instance variables are non-static variables in a class, unique to each object instance, storing object-specific data."
none,getter methods,"Getter methods retrieve the value of a private instance variable, providing controlled access (e.g., getName())."
none,setter methods,"Setter methods modify the value of a private instance variable, ensuring controlled updates (e.g., setName(String))."
none,composition,"Composition is a 'has-a' relationship where a class contains objects of another class (e.g., a Car has an Engine)."
