concept,explanation,explanation 2,example,note
c++,"C++ is a general-purpose programming language that supports procedural, object-oriented, and generic programming.","It is widely used for system/software development, games, and performance-critical applications.","class Car { public: void drive() { std::cout << ""Driving""; } };","Use C++ when performance and memory management are priorities."
c,"C is a low-level procedural programming language known for its efficiency and close-to-hardware capabilities.","It forms the basis of many modern languages and operating systems.","Example: #include <stdio.h> int main() { printf(""Hello, World!""); return 0; }","C requires manual memory management using pointers and malloc/free."
java,"Java is a high-level, object-oriented language designed to run on any platform using the JVM.","It emphasizes portability, security, and strong typing.","Example: public class Hello { public static void main(String[] args) { System.out.println(""Hello""); } }","Java uses garbage collection and is widely used in enterprise applications."
javaScript,"JavaScript is a high-level, interpreted scripting language mainly used for web development.","It enables dynamic and interactive content in browsers and supports asynchronous operations.","Example: console.log(""Hello, World!"");","JavaScript runs in the browser and uses event-driven programming."
python,"Python is a high-level, dynamically typed language known for its readability and simplicity.","It supports multiple paradigms, including procedural, object-oriented, and functional programming.","Example: print(""Hello, World!"")","Python is ideal for beginners, scripting, and data science."
scala,"Scala is a hybrid functional and object-oriented language that runs on the JVM.","It blends concise syntax with powerful features like immutability, pattern matching, and higher-order functions.","Example: object Hello extends App { println(""Hello, World!"") }","Scala is commonly used with Apache Spark for big data and functional programming."
algorithm,"An algorithm is a set of steps to solve a problem or perform a computation.","Algorithms can be thought of as recipes, providing a sequence of operations that a computer follows to achieve a goal.","A bubble sort algorithm in Python: for i in range(n): for j in range(n-i-1): if arr[j] > arr[j+1]: arr[j], arr[j+1] = arr[j+1], arr[j]","Consider time and space complexity when choosing an algorithm."
scala,"Scala is a programming language that combines object-oriented and functional programming.","Scala runs on the JVM and integrates features like immutability and pattern matching from functional programming.","A Scala factorial function: def factorial(n: Int): Int = if (n <= 1) 1 else n * factorial(n-1)","Scala’s concise syntax can reduce boilerplate code compared to Java."
class,"A class is a blueprint for creating objects in object-oriented programming.","It defines properties and behaviors that objects instantiated from the class will have.","A Python class: class Car: def __init__(self, color): self.color = color","Use encapsulation to hide class internals from outside access."
arrays,"Arrays are a data structure that stores a fixed-size sequence of elements of the same type.","Arrays allow random access to elements via indices, making them efficient for certain operations.","A C array: int temps[3] = {23, 24, 22}; printf('%d', temps[1]);","Arrays have a fixed size in some languages like C, unlike dynamic lists."
variables,"Variables are named storage locations that hold data values in a program.","They act as containers whose values can change during execution, depending on the scope.","A JavaScript variable: let age = 25; age = 26;","Choose meaningful names to improve code readability."
dsa,"DSA stands for Data Structures and Algorithms, foundational concepts in computer science.","It involves organizing data (e.g., lists, trees) and designing efficient problem-solving methods.","A Python stack for reversal: stack = []; stack.append('h'); stack.append('i'); word = stack.pop() + stack.pop();","Practice DSA to optimize software performance."
oop,"Object-Oriented Programming is a paradigm using objects and classes to design software.","OOP emphasizes concepts like inheritance and polymorphism to model real-world entities.","A Java class: class Dog extends Animal { void bark() { System.out.println('Woof'); } }","OOP promotes code reusability and modularity."
Loops,"Loops are control structures that repeat a block of code until a condition is met.","They reduce redundancy by iterating over data or repeating actions like in while or for loops.","A Python for loop: for i in range(1, 11): print(i)","Use break or continue to control loop execution precisely."
Inheritance,"Inheritance allows a class to inherit properties and methods from another class.","It enables code reuse by creating a hierarchy, like a 'Child' class extending 'Parent'.","A Java example: class Bird extends Animal { void fly() { System.out.println('Flying'); } }","Favor composition over inheritance when relationships are complex."
polymorphism,"Polymorphism allows methods to be used in different ways based on the object.","It enables a single interface to represent different underlying forms, like method overriding.","A Python example: class Shape: def draw(self): pass; class Circle(Shape): def draw(self): return 'Drawing Circle'","Polymorphism enhances flexibility in large codebases."
closure,"A closure is a function that retains access to its outer scope’s variables.","It allows functions to 'remember' the environment in which they were created.","A JavaScript closure: function outer() { let x = 10; return function() { return x; }; } let inner = outer();","Closures are useful for data privacy in JavaScript."
list,"A list is a dynamic data structure that holds an ordered collection of items.","Unlike arrays, lists can grow or shrink, supporting operations like append and remove.","A Python list: items = ['milk', 'bread']; items.append('eggs')","Lists in Python are versatile but can be slower than arrays for random access."
array,"An array is a fixed-size, ordered collection of elements of the same data type.","It provides constant-time access to elements using an index.","A Java array: double[] temps = {23.5, 24.0, 22.8}; System.out.println(temps[1]);","Arrays are memory-efficient but lack flexibility in size."
interface,"An interface defines a contract of methods that a class must implement.","It specifies what a class should do without providing the implementation.","A Java interface: interface Runnable { void run(); }; class Thread implements Runnable { public void run() {} }","Interfaces support multiple inheritance in languages like Java."
function,"A function is a block of code designed to perform a specific task.","It can take parameters, execute logic, and return a value when called.","A Python function: def add(a, b): return a + b; result = add(3, 4)","Keep functions small and focused on a single responsibility."
pointer,"A pointer is a variable that stores the memory address of another variable.","It allows direct memory manipulation, common in low-level programming.","A C++ pointer: int x = 10; int* ptr = &x; *ptr = 20;","Be cautious with pointers to avoid memory leaks or invalid access."
dictionary,"A dictionary is a data structure storing key-value pairs for fast lookups.","It maps unique keys to values, like a real-world dictionary maps words to definitions.","A Python dictionary: fruits = {'apple': 5, 'banana': 3}; print(fruits['apple'])","Dictionaries are efficient for associative data but require unique keys."
abstraction,"Abstraction hides complex implementation details, showing only essentials.","It allows users to interact with a simplified interface or object.","A Python abstract class: from abc import ABC, abstractmethod; class Vehicle(ABC): @abstractmethod def start(self): pass","Abstraction reduces cognitive load in software design."
virtual function,"A virtual function enables runtime polymorphism in object-oriented languages.","It allows a derived class to override a method defined in a base class.","A C++ virtual function: class Vehicle { virtual void move() { cout << 'Moving'; } }; class Car : public Vehicle { void move() { cout << 'Driving'; } };","Virtual functions are key in C++ for dynamic dispatch."
module,"A module is a file containing code, like functions or classes, for reuse.","It organizes code into separate units, improving maintainability.","A Python module: # math_utils.py; def add(a, b): return a + b; # main.py: import math_utils; math_utils.add(2, 3)","Use modules to avoid namespace clashes in large projects."
prototype,"Prototype is a design pattern where objects are created by cloning a prototype.","It allows creating new objects by copying an existing object, reducing initialization overhead.","A JavaScript prototype: function Person(name) { this.name = name; }; Person.prototype.greet = function() { return 'Hi ' + this.name; };","Prototypes are central to JavaScript’s inheritance model."
structure,"A structure is a user-defined data type that groups related variables.","It allows combining different data types under a single name, useful in low-level programming.","A C structure: struct Point { int x; int y; }; struct Point p = {3, 4};","Structures in C don’t support methods, unlike classes."
lambda function,"A lambda function is a small, anonymous function defined without a name.","It’s often used for short, throwaway functions in functional programming.","A Python lambda: square = lambda x: x * x; print(square(5))","Lambdas are handy for quick operations but can reduce readability if overused."
encapsulation,"Encapsulation bundles data and methods into a single unit, restricting direct access.","It protects an object’s internal state by exposing only necessary interfaces.","A Java example: class Account { private double balance; public void deposit(double amt) { balance += amt; } }","Use getters and setters to control access to private fields."
template,"A template allows writing generic code that works with any data type.","It enables type-safe code reuse without sacrificing performance.","A C++ template: template<typename T> T max(T a, T b) { return a > b ? a : b; }","Templates are powerful but can lead to complex error messages."
set,"A set is a collection that stores unique elements, with no duplicates.","It supports operations like union, intersection, and difference efficiently.","A Python set: numbers = {1, 2, 3}; numbers.add(4); numbers.add(1);","Sets are ideal for checking membership and removing duplicates."
linked list,"A linked list is a linear data structure where elements are stored in nodes.","Each node contains data and a reference to the next node, allowing dynamic sizing.","A Python node class: class Node: def __init__(self, data): self.data = data; self.next = None","Linked lists are flexible but slower for random access than arrays."
exception handling,"Exception handling manages errors during program execution.","It uses try-catch blocks to gracefully handle unexpected conditions.","A Java try-catch: try { int x = 10 / 0; } catch (ArithmeticException e) { System.out.println('Divide by zero'); }","Always catch specific exceptions rather than generic ones."
list comprehension,"List comprehension provides a concise way to create lists from iterables.","It’s a more readable alternative to loops for transforming or filtering data.","A Python list comprehension: squares = [x**2 for x in range(5)]; print(squares)","List comprehensions can improve performance over traditional loops."
overloading,"Overloading allows defining multiple methods with the same name but different parameters.","It enables methods to behave differently based on input types or counts.","A Java method overload: void print(int x) { }; void print(String s) { };","Overloading improves code readability but can’t differ by return type alone."
callback,"A callback is a function passed as an argument to another function.","It allows asynchronous execution, often used in event-driven programming.","A JavaScript callback: setTimeout(function() { console.log('Delayed'); }, 1000);","Callbacks can lead to 'callback hell'—consider promises or async/await."
generator,"A generator is a function that yields values one at a time, pausing execution.","It allows iterating over a sequence without storing it all in memory.","A Python generator: def count(): for i in range(3): yield i; for x in count(): print(x)","Generators are memory-efficient for large datasets."
abstract class,"An abstract class is a class that cannot be instantiated and may contain abstract methods.","It serves as a blueprint for subclasses, enforcing method implementation.","A Python abstract class: from abc import ABC, abstractmethod; class Shape(ABC): @abstractmethod def area(self): pass","Abstract classes can include concrete methods too."
stack,"A stack is a data structure that follows the Last In, First Out (LIFO) principle.","It supports push (add) and pop (remove) operations at the top.","A Python stack: stack = []; stack.append(1); stack.append(2); print(stack.pop())","Stacks are used in function call management and undo mechanisms."
tuple,"A tuple is an immutable, ordered collection of elements.","It can store heterogeneous data and is faster than lists due to immutability.","A Python tuple: point = (3, 4); x, y = point; print(x)","Tuples are great for fixed data, like coordinates or records."
promise,"A promise represents a value that may be available now, later, or never.","It’s used for asynchronous operations, providing a cleaner alternative to callbacks.","A JavaScript promise: let p = new Promise((resolve, reject) => { setTimeout(() => resolve('Done'), 1000); });","Use .then() and .catch() to handle promise resolution."
destructor,"A destructor is a special method called when an object is destroyed.","It’s used to clean up resources, like closing files or freeing memory.","A C++ destructor: class Resource { ~Resource() { cout << 'Cleaned up'; } };","Destructors are automatic in C++ but not in garbage-collected languages."
method overriding,"Method overriding allows a subclass to provide a specific implementation of a method.","It enables runtime polymorphism by redefining a base class method.","A Java override: class Animal { void sound() { }; } class Dog extends Animal { void sound() { System.out.println('Woof'); } }","Ensure the method signature matches exactly for overriding."
queue,"A queue is a data structure that follows the First In, First Out (FIFO) principle.","It supports enqueue (add) and dequeue (remove) operations.","A Python queue: from collections import deque; q = deque(); q.append(1); q.popleft();","Queues are used in scheduling and breadth-first search."
file i/o,"File I/O refers to reading from and writing to files in a program.","It allows persistent storage of data beyond program execution.","A Python file write: with open('data.txt', 'w') as f: f.write('Hello');","Always close files or use context managers to avoid resource leaks."
arrow function,"An arrow function is a concise syntax for writing functions in JavaScript.","It doesn’t have its own 'this', making it useful for callbacks.","A JavaScript arrow function: const add = (a, b) => a + b; console.log(add(2, 3));","Arrow functions are not suitable for methods needing 'this' binding."
stl,"STL (Standard Template Library) provides generic classes and functions in C++.","It includes containers (e.g., vector), algorithms (e.g., sort), and iterators.","A C++ STL vector: #include <vector>; vector<int> v = {1, 2, 3}; v.push_back(4);","STL boosts productivity but requires understanding templates."
dynamic memory allocation,"Dynamic memory allocation allocates memory at runtime.","It allows flexible memory management using pointers.","A C++ allocation: int* ptr = new int(5); delete ptr;","Always free dynamically allocated memory to prevent leaks."
regular expression,"A regular expression (regex) is a pattern for matching strings.","It’s used for searching, validation, and text manipulation.","A Python regex: import re; match = re.search(r'\d+', 'abc123'); print(match.group())","Regex can be complex—test thoroughly to avoid errors."
map,"A map is a data structure that stores key-value pairs, like a dictionary.","It provides fast lookups by key, often implemented as a hash table.","A Python map: scores = {'Alice': 90, 'Bob': 85}; print(scores['Alice'])","Maps are efficient for lookups but require unique keys."
graph,"A graph is a data structure with nodes connected by edges.","It’s used to model relationships, like networks or social connections.","A Python adjacency list: graph = {'A': ['B', 'C'], 'B': ['A']}; print(graph['A'])","Graphs can be directed or undirected—choose based on your problem."
filter,"Filter selects elements from a collection based on a condition.","It’s a functional programming concept for data processing.","A Python filter: numbers = [1, 2, 3, 4]; evens = list(filter(lambda x: x % 2 == 0, numbers));","Filter is often paired with map for data transformations."
exception,"An exception is an error that occurs during program execution.","It disrupts normal flow and can be caught and handled.","A Python exception: try: x = 1 / 0; except ZeroDivisionError: print('Cannot divide by zero');","Handle exceptions to prevent crashes and improve robustness."
constructor,"A constructor is a special method that initializes objects.","It’s called automatically when an object is created.","A Java constructor: class Person { String name; Person(String n) { name = n; } }","Constructors can be overloaded to provide multiple initialization options."
binary tree,"A binary tree is a tree where each node has at most two children.","It’s used for hierarchical data and efficient searching/sorting.","A Python node: class Node: def __init__(self, value): self.value = value; self.left = None; self.right = None","Balanced binary trees improve search performance."
class template,"A class template allows creating generic classes in C++.","It supports type-safe code reuse for different data types.","A C++ class template: template<class T> class Box { T item; public: Box(T i) : item(i) {} };","Class templates are resolved at compile time for efficiency."
